kode_mk,nama_mk,sks,peminatan,semester,deskripsi
KMNF11003TI,Pembentukan karakter,2,dasar,1,Mata kuliah ini bertujuan untuk membentuk dan mengembangkan karakter mahasiswa agar mejadi intelektual muslim yang memiliki sikap dan karakter positip yang berguna dalam menjalani proses belajar di perkuliahan dan juga bermanfaat dalam kehidupannya.
KMNF11002TI,Bahasa Indonesia,2,dasar,1,"Mata kuliah ini membahas macam-macam karya ilmiah berbahasa indonesia di perkuliahan dan cara menulis karya ilmiah, yang juga mencakup cara membaca karya ilmiah, menulis kutipan, dan menyusun daftar pustaka, serta cara presentasi karya ilmiah.Mata kuliah ini juga menjelaskan ciri-ciri bahasa indonesia ragam ilmiah, pengertian plagiarisme dalam penuliasan ilmiah, pemilihan kata, penulisan istilah asing dan kata serapan, penyusunan frasa dan kalimat efektif, penyusunan beberapa jenis paragraf, penyusunan kerangka tulisan, dan penggunaan pedoman ejaan bahasa indonesia yang disempurnakan (EYD)."
KMIE11001TI,Matematika Komputer,3,dasar,1,"Mata kuliah ini dirancang untuk memberikan dasar matematika yang diperlukan dalam konteks komputasi dan pengembangan perangkat lunak. Mata kuliah ini mencakup konsep-konsep matematika yang relevan dengan algoritma, struktur data, analisis kompleksitas, dan pemecahan masalah komputasional."
KMIE11002TI,Dasar-dasar Pemograman,3,dasar,1,"Mata kuliah ini dimaksudkan untuk memberi kemampuan pada mahasiswa untuk dapat memahami dasar-dasar pemograman, mengerti dan memahami sintak dan struktur bahasa pemograman python, memahami struktur data dalam bahasa pemograman, mampu mengembangkan program atau aplikasi tingkat menengah menggunakan python, mampu menggunakan berbagai pustaka (library) penting pada program atau aplikasi python yang dibuat sendiri."
KBIE11001TI,Literasi Digital,2,dasar,1,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam literasi digital. Fokus pembelajaran meliputi pemanfaatan teknologi digital secara efektif dan bertanggung jawab, kemampuan mengakses, mengevaluasi, dan mengelola informasi digital, serta penerapan etika, keamanan, dan kesadaran hukum dalam penggunaan teknologi digital."
KMIE11004TI,Sistem Operasi,3,dasar,1,"Mata kuliah ini memberikan pemahaman konsep dan penguasaan teknis tentang sistem operasi pada komputer, dengan berfokus pada teknologi sistem operasi yang menjadi pondasi dari sebagian besar layanan server saat ini. Pada mata kuliah sistem operasi ini akan dibahas mengenai, dasar-dasar pemograman tentang cara kerja sistem operasi, jenis-jenis dan perbandingan sistem operasi komputer, cara instalasi sistem operasi dan aplikasi, penggunaan comand line interface(CLI) pada sistem operasi, manajemen file, manajemen aplikasi, manajemen proses, administrasi sistem dan konfigurasi jaringan."
KBIE11002TI,Desain UI/UX,3,dasar,1,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam perancangan antarmuka dan pengalaman pengguna (UI/UX). Fokus pembelajaran mencakup prinsip desain visual, user research, wireframing, prototyping, usability testing, serta penerapan desain UI/UX untuk menghasilkan produk digital yang intuitif, menarik, dan berorientasi pada kebutuhan pengguna."
KBIE11003TI,Organisasi dan Arsitektur Komputer,2,dasar,1,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep organisasi dan arsitektur komputer. Fokus pembelajaran meliputi struktur dan fungsi komponen komputer, representasi data, arsitektur prosesor, sistem memori, serta hubungan antara perangkat keras dan perangkat lunak dalam sistem komputer."
KMNF12001TI,Komunikasi Efektif,2,dasar,2,"Mata Kuliah ini membahas tentang proses komunikasi, bentuk dan implementasi komunikasi, faktor-faktor yang berpengaruh dalam proses komunikasi, makna proses pembentukan tim, faktor-faktor yang berpengaruh dan bagaimana mencapai kerjasama tim yang efektif, kebutuhan akan organisasi dan bagaimana mencapai organisasi yang sukses."
KMNF12003TI,Bahasa Inggris,2,dasar,2,"Mata kuliah Bahasa Inggris 1 ini bertujuan untuk membekali para mahasiswa dengan pengetahuan, pemahaman dan penerapan bahasa Inggris. Mata kuliah ini diberikan dengan komposisi yang lebih fokus kepada peningkatan kompetensi kemampuan berkomunikasi yaitu Conversation (Listening and Speaking) & Presentation (English Public Speaking). Mahasiswa diharapkan mampu memahami, menyampaikan, mengkonstruksikan, dan mengkomunikasikan fakta, opini, dan gagasan dalam bahasa Inggris yang baik dan benar."
KMIE12001TI,Statistika & Probabilitas,2,dasar,2,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep statistika dan probabilitas. Fokus pembelajaran meliputi analisis statistik deskriptif, peluang, distribusi probabilitas, inferensi statistik, serta penerapan statistika dan probabilitas dalam pengolahan dan analisis data."
KMIE12002TI,Basis Data,3,dasar,2,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep dan pengelolaan basis data. Fokus pembelajaran mencakup perancangan basis data, model data, normalisasi, bahasa query (SQL), serta penerapan sistem manajemen basis data untuk menyimpan dan mengelola data secara efektif dan terstruktur."
KBIE12001TI,Interaksi Manusia & Komputer,2,dasar,2,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep interaksi manusia dan komputer. Fokus pembelajaran meliputi prinsip usability, desain antarmuka pengguna, pengalaman pengguna (UX), evaluasi antarmuka, serta perancangan sistem yang mudah digunakan dan berorientasi pada pengguna."
KMIE12004TI,Jaringan Komputer,2,dasar,2,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep dan teknologi jaringan komputer. Fokus pembelajaran mencakup arsitektur jaringan, protokol komunikasi, pengalamatan jaringan, konfigurasi dan manajemen jaringan, serta penerapan jaringan untuk mendukung komunikasi data."
KBIE12002TI,Pemrograman Web,2,dasar,2,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam pengembangan aplikasi berbasis web. Fokus pembelajaran meliputi struktur dan teknologi web, pengembangan frontend dan backend dasar, pengelolaan basis data, serta penerapan standar dan praktik terbaik dalam membangun aplikasi web yang dinamis dan interaktif."
KBTI120001,Struktur Data dan Algoritma,2,dasar,2,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep struktur data dan algoritma. Fokus pembelajaran meliputi penggunaan struktur data, perancangan algoritma, analisis kompleksitas, serta penerapan solusi algoritmik yang efisien untuk menyelesaikan permasalahan komputasi."
