kode_mk,nama_mk,sks,peminatan,semester,deskripsi
KMNF11003TI,Pembentukan karakter,2,umum,1,"Mata kuliah Pembentukan Karakter membahas pengembangan kepribadian, etika, moralitas, dan sikap profesional mahasiswa. Fokus pada pembentukan integritas diri, kedisiplinan, tanggung jawab, dan nilai-nilai islami sebagai landasan perilaku akademik dan profesional. Tidak berkaitan dengan teknologi, pemrograman, atau sistem komputer."
KMNF11002TI,Bahasa Indonesia,2,umum,1,"Mata kuliah Bahasa Indonesia membahas penulisan karya ilmiah, tata bahasa baku, ejaan yang disempurnakan (EYD), penyusunan paragraf efektif, teknik sitasi dan daftar pustaka, serta presentasi akademik. Mata kuliah ini berfokus pada kemampuan literasi dan komunikasi tulis dalam konteks akademik, bukan pemrograman atau teknologi informasi."
KMIE11001TI,Matematika Komputer,3,umum,1,"Mata kuliah Matematika Komputer membahas fondasi matematika diskrit untuk komputasi, mencakup logika proposisional, teori himpunan, relasi dan fungsi, kombinatorika, teori graf, aljabar boolean, dan notasi Big-O untuk analisis kompleksitas algoritma. Digunakan sebagai dasar teoritis dalam pemrograman dan perancangan algoritma."
KMIE11002TI,Dasar-dasar Pemograman,3,umum,1,"Mata kuliah Dasar-dasar Pemrograman membahas konsep fundamental pemrograman komputer menggunakan bahasa Python, mencakup sintaks dasar, tipe data, variabel, operator, struktur kontrol (percabangan dan perulangan), fungsi, serta penanganan error. Mata kuliah ini merupakan pengantar coding dan logika pemrograman bagi pemula."
KBIE11001TI,Literasi Digital,2,umum,1,"Mata kuliah Literasi Digital membahas pemanfaatan teknologi digital secara kritis dan bertanggung jawab, mencakup keamanan akun, privasi online, etika bermedia sosial, evaluasi informasi di internet, hak cipta digital, serta penggunaan perangkat lunak produktivitas. Fokus pada kecakapan digital dalam kehidupan akademik dan profesional, bukan pemrograman."
KMIE11004TI,Sistem Operasi,3,umum,1,"Mata kuliah Sistem Operasi membahas konsep dan cara kerja sistem operasi komputer, mencakup manajemen proses, penjadwalan CPU, manajemen memori (RAM), sistem file, manajemen perangkat I/O, serta konsep virtualisasi dan containerisasi. Topik meliputi Linux, Windows, multithreading, deadlock, dan sinkronisasi proses."
KBIE11002TI,Desain UI/UX,3,umum,1,"Mata kuliah Desain UI/UX membahas perancangan antarmuka pengguna (User Interface) dan pengalaman pengguna (User Experience) pada aplikasi digital. Topik mencakup prinsip desain visual, wireframing, prototyping, usability testing, design thinking, dan penggunaan tools seperti Figma. Fokus pada estetika dan kegunaan antarmuka, bukan backend atau infrastruktur."
KBIE11003TI,Organisasi dan Arsitektur Komputer,2,umum,1,"Mata kuliah Organisasi dan Arsitektur Komputer membahas struktur internal perangkat keras komputer, mencakup komponen CPU (ALU, register, CU), siklus instruksi fetch-decode-execute, hierarki memori (cache, RAM, ROM), pipeline, arsitektur RISC vs CISC, bus sistem, dan representasi bilangan biner. Mata kuliah ini berfokus pada hardware dan arsitektur prosesor."
KMNF12001TI,Komunikasi Efektif,2,umum,2,"Mata kuliah Komunikasi Efektif membahas prinsip-prinsip komunikasi interpersonal dan profesional, mencakup komunikasi verbal dan nonverbal, teknik presentasi, kerja tim, negosiasi, dan komunikasi organisasi. Fokus pada pengembangan soft skill komunikasi manusia dalam konteks akademik dan profesional."
KMNF12003TI,Bahasa Inggris,2,umum,2,"Mata kuliah Bahasa Inggris membahas penguasaan bahasa Inggris untuk keperluan akademik dan profesional, mencakup reading comprehension, writing, grammar, vocabulary, serta speaking. Fokus pada kemampuan berbahasa Inggris umum dan teknis (technical English), bukan teknologi informasi."
KMIE12001TI,Statistika & Probabilitas,2,umum,2,"Mata kuliah Statistika dan Probabilitas membahas metode statistik deskriptif dan inferensial, mencakup distribusi probabilitas, uji hipotesis, regresi linier, korelasi, dan analisis varians (ANOVA). Digunakan sebagai dasar analisis kuantitatif dalam penelitian dan pengambilan keputusan berbasis data. Kata kunci terkait: pengolahan data, analisis data."
KMIE12002TI,Basis Data,3,umum,2,"Mata kuliah Basis Data membahas perancangan dan pengelolaan sistem basis data relasional, mencakup model Entity-Relationship (ERD), normalisasi tabel, bahasa query SQL (SELECT, JOIN, INSERT, UPDATE, DELETE), stored procedure, trigger, dan transaksi database. Tools yang digunakan meliputi MySQL dan PostgreSQL. Berfokus pada struktur tabel dan query SQL."
KBIE12001TI,Interaksi Manusia & Komputer,2,umum,2,"Mata kuliah Interaksi Manusia dan Komputer (IMK) membahas prinsip-prinsip desain antarmuka yang berpusat pada pengguna (human-centered design), mencakup usability, aksesibilitas, prototipe, evaluasi heuristik, dan uji pengguna (user testing). Fokus pada bagaimana manusia berinteraksi dengan sistem komputer, bukan pada pemrograman backend atau jaringan."
KMIE12004TI,Jaringan Komputer,2,umum,2,"Mata kuliah Jaringan Komputer membahas konsep dan teknologi komunikasi antar perangkat dalam jaringan komputer, mencakup model OSI dan TCP/IP, pengalamatan IP, subnetting, routing dan switching, protokol jaringan (HTTP, DNS, DHCP, FTP, TCP, UDP), topologi jaringan, LAN, WAN, dan wireless network. Praktikum menggunakan Cisco Packet Tracer atau GNS3."
KBIE12002TI,Pemrograman Web,2,umum,2,"Mata kuliah Pemrograman Web membahas pengembangan aplikasi berbasis web menggunakan teknologi frontend dan backend, mencakup HTML, CSS, JavaScript, framework frontend (React/Vue), serta backend dengan PHP atau Node.js. Topik meliputi HTTP request, REST API, form handling, dan deployment web sederhana. Kata kunci terkait: aplikasi web."
KBTI120001,Struktur Data dan Algoritma,2,umum,2,"Mata kuliah Struktur Data dan Algoritma membahas pemilihan dan implementasi struktur data yang efisien, mencakup array, linked list, stack, queue, tree, graph, dan hash table, serta algoritma pencarian (searching) dan pengurutan (sorting) seperti quicksort, mergesort, dan BFS/DFS. Fokus pada efisiensi kode dan kompleksitas waktu (time complexity). Kata kunci terkait: pemrograman."
KMNF11001TI,Pendidikan Agama,2,umum,3,"Mata kuliah Pendidikan Agama membahas nilai-nilai keimanan, ibadah, akhlak, dan etika dalam perspektif Islam sebagai pedoman hidup mahasiswa. Fokus pada spiritualitas, moral, dan pembentukan karakter religius, tidak berkaitan dengan teknologi atau ilmu komputer."
KMNF21002TI,Bahasa Inggris 2,2,umum,3,"Mata kuliah Bahasa Inggris 2 membahas kemampuan bahasa Inggris tingkat lanjut untuk konteks teknologi dan akademik, mencakup technical writing, membaca jurnal ilmiah berbahasa Inggris, dan presentasi profesional. Fokus pada penguasaan bahasa Inggris teknis, bukan pemrograman."
KMIE21001TI,Rekayasa Perangkat Lunak,3,umum,3,"Mata kuliah Rekayasa Perangkat Lunak membahas prinsip dan metodologi pengembangan software secara sistematis, mencakup Software Development Life Cycle (SDLC), metodologi Agile dan Scrum, pemodelan UML (use case, class diagram, sequence diagram), pengujian perangkat lunak (unit testing, integration testing), dan manajemen versi menggunakan Git. Kata kunci terkait: pemrograman."
